"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","64/1650","256/10650",0.25,1.61363636363636,4.25514971400949,4.40638056994969e-05,0.000344498844559703,0.000202398341968981,"12767/23797/14672/14784/170758/12313/11651/13557/19766/18708/19229/19219/11515/224129/16440/12575/21356/14972/21354/12915/14964/15015/15040/15039/667977/240095/22339/19877/18018/16410/20779/18019/16194/19055/18749/19218/14700/12578/242705/12371/18707/12571/19303/14673/208647/20315/14709/54131/12028/75547/18751/15461/14082/12443/16150/13685/18709/18747/11513/14681/18021/12927/69632/214763",64
"Genetic Information Processing","Chromosome","mmu03082","ATP-dependent chromatin remodeling","39/1650","136/10650",0.286764705882353,1.85093582887701,4.2761940891984,6.17997423540982e-05,0.000472424697106884,0.000277556737590336,"227195/56207/17192/83796/217578/70127/116870/319191/665433/319168/319167/319166/26914/51812/239985/72057/52004/81601/19708/23942/67155/227867/269397/73247/70088/19646/93760/77045/11461/330409/107932/232440/243842/29861/233532/233875/234366/26992/20588",39
"Environmental Information Processing","Signal transduction","mmu04152","AMPK signaling pathway","37/1650","127/10650",0.291338582677165,1.88045812455261,4.27381689451007,6.54308219205752e-05,0.000489308755232127,0.000287476380062939,"16367/18640/23797/56484/18641/20869/13629/107476/74370/14104/26932/26931/11651/18708/71978/105787/18642/18607/19326/21770/12683/20249/68365/56458/74343/18707/108099/57915/22241/207565/208647/67605/78070/16001/12443/13685/18709",37
"Cellular Processes","Cellular community - eukaryotes","mmu04520","Adherens junction","29/1650","92/10650",0.315217391304348,2.03458498023715,4.26721362393713,8.50285475077296e-05,0.000622336603035298,0.00036563227595709,"227377/17898/21414/66313/108100/170758/22330/12914/17356/14158/19877/17128/20411/20779/19246/56426/214137/21812/19268/242687/11461/75788/21415/19294/60595/16001/14182/93742/17127",29
"Cellular Processes","Cellular community - eukaryotes","mmu04510","Focal adhesion","52/1650","202/10650",0.257425742574257,1.66156615661566,4.06450361174492,0.000100223994521462,0.000718271960737146,0.000421995766406157,"12835/329251/23797/18717/17931/17898/26420/16399/14784/170758/11651/20418/18708/286940/22330/26419/12824/16402/224105/18607/22339/12445/19877/16774/13367/12015/22325/16410/20779/54635/18707/26414/19303/434233/18590/11461/22793/232807/22323/60595/16001/16202/57342/18751/15461/12443/12826/22341/12845/18709/12927/70549",52
"Organismal Systems","Endocrine system","mmu04914","Progesterone-mediated oocyte maturation","29/1650","93/10650",0.311827956989247,2.01270772238514,4.19981795686088,0.000105550225311407,0.000741005663410692,0.000435352164549733,"23797/56371/12566/20868/26420/11651/18708/26419/11515/224129/20112/70891/208922/17222/18749/17451/71890/18707/231207/26414/59008/17120/16001/12877/18817/18709/18747/11513/12530",29
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","32/1650","107/10650",0.299065420560748,1.9303313508921,4.14116536239771,0.000115892714292361,0.000782376263621071,0.000459658025138451,"23797/12566/21414/52466/14784/11651/13557/18708/12914/104156/13876/50528/18607/12575/12015/56458/54635/12448/242705/12371/18707/18590/208647/21415/12447/16001/14183/15461/12443/16150/14182/18709",32
"Organismal Systems","Endocrine system","mmu04921","Oxytocin signaling pathway","42/1650","154/10650",0.272727272727273,1.7603305785124,4.06935930182215,0.000115991829781031,0.000782376263621071,0.000459658025138451,"329251/13629/17931/17904/23939/12295/54377/14281/12313/12325/105787/16520/11515/224129/16522/16440/12575/19877/12322/18018/12298/20779/18019/18160/108058/19055/18749/230103/108099/434233/207565/11461/12288/232807/20190/18751/15461/12443/18747/11513/14681/18021",42
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","37/1650","131/10650",0.282442748091603,1.82303955586398,4.05830104042838,0.00013335545133367,0.000882197601130429,0.000518304588179444,"433323/11539/23797/13244/26408/20397/26420/66612/20698/170758/26932/20773/26931/11651/13610/18708/26419/71978/18607/21770/18754/19877/208449/74442/18386/18707/18762/26414/14673/12028/14389/20597/18751/15461/18709/14739/94226",37
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","62/1650","255/10650",0.243137254901961,1.56934046345811,3.94007986333818,0.000136021825618554,0.000882858641750612,0.000518692959657642,"13869/12767/320404/11540/14672/67972/22333/11541/12291/72469/14813/20698/12313/14186/14062/12325/22334/14180/19229/11515/58226/16440/22339/21425/12322/14680/18018/11554/12287/14810/18019/18216/54635/108058/19055/18749/19218/242443/15565/14184/252972/18590/19713/12288/14812/110891/20190/14814/18213/20866/18751/14183/22335/14182/11556/11739/22341/13617/18747/11513/18021/234779",62
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","38/1650","136/10650",0.279411764705882,1.80347593582888,4.03769465452983,0.000139494717501576,0.000888633015195222,0.000522085492403558,"23797/26408/11783/13198/26420/78943/13665/14281/11651/19766/18708/26419/22143/18607/16440/13163/16906/56464/12015/13804/22029/69601/12125/16905/12371/18707/26414/19249/12123/11461/13666/64704/170770/12028/15461/14082/16150/18709",38
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","18/1650","48/10650",0.375,2.42045454545455,4.22307885195104,0.000165822394714427,0.00103714370512296,0.000609337794931483,"16367/26420/12291/12702/18708/26419/378435/12703/18754/12287/18707/18762/26414/15277/12288/20927/16150/18709",18
"Human Diseases","Cancer: overview","mmu05230","Central carbon metabolism in cancer","23/1650","69/10650",0.333333333333333,2.15151515151515,4.10871460493931,0.000177230539253372,0.001088701883985,0.000639629013846757,"14660/23797/18641/216456/80879/15251/11651/18708/18642/106557/18648/18707/14184/15277/19713/20514/16828/18213/14183/15461/14182/18709/20539",23
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","30/1650","101/10650",0.297029702970297,1.91719171917192,3.9654300805929,0.000213840582932124,0.00129054667594124,0.00075821591732166,"23797/26420/20850/72469/21809/11651/18708/26419/18712/22339/18754/13653/13367/17128/18018/56458/21812/18707/18762/26414/21803/12028/18751/15461/12443/12826/22341/18709/234779/17127",30
"Cellular Processes","Cell growth and death","mmu04115","p53 signaling pathway","24/1650","75/10650",0.32,2.06545454545455,3.96461026508926,0.000261981785468585,0.00155382300346885,0.000912894787839716,"64058/140742/11783/12566/20135/107831/29813/12575/12445/67874/12448/12578/230784/55948/12371/22062/12571/170770/12447/12028/12443/20437/75747/66940",24
"Genetic Information Processing","Folding, sorting and degradation","mmu04120","Ubiquitin mediated proteolysis","41/1650","156/10650",0.262820512820513,1.69638694638695,3.75160859290829,0.000328740263346603,0.0019167228913768,0.00112610402430951,"14897/67921/56371/21402/66313/12702/105193/26401/246710/70790/17237/12703/67673/56424/66515/12211/83814/74126/28000/22034/17222/50754/107568/67615/242521/230904/100763/231380/59008/22190/75788/73998/77891/22192/22215/99375/20437/109161/17999/22209/17318",41
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","57/1650","237/10650",0.240506329113924,1.55235903337169,3.68199191589842,0.000335973735986754,0.00192624941965739,0.00113170100542906,"19731/23797/13637/19696/26420/14784/170758/12313/11651/20418/14186/218397/19418/18708/26419/14180/224105/21844/23872/17356/240057/19732/22339/13640/19765/225870/12015/14810/19730/11350/12064/228850/54635/13636/13639/18749/14700/18707/14184/26414/18590/14812/14709/16001/14389/18751/14183/15461/19414/16150/14182/22341/18709/14388/18747/234779/114713",57
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","37/1650","137/10650",0.27007299270073,1.74319840743198,3.74866690989036,0.000355635911832238,0.00200555333885721,0.00117829327129922,"23797/26420/19049/26932/14281/12313/26931/11651/13162/12325/26419/71978/224129/16522/16440/12915/21770/12322/14680/12287/16574/108058/19055/18749/14700/12753/26414/434233/208647/12288/14812/14709/109689/11865/18751/18747/14681",37
"Cellular Processes","Cell growth and death","mmu04114","Oocyte meiosis","34/1650","123/10650",0.276422764227642,1.78418329637842,3.74535477814598,0.000381270721100041,0.00211543754932926,0.00124285192616652,"12566/21402/26932/12313/26931/12325/11515/224129/20112/16440/21770/70891/12322/208922/20874/13006/17222/108058/19055/18749/17451/12448/71890/231207/434233/59008/22628/17120/12447/16001/12877/18817/18747/11513",34
"Metabolism","Glycan biosynthesis and metabolism","mmu00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","11/1650","24/10650",0.458333333333333,2.95833333333333,4.11227796074816,0.000420170214527964,0.00227088865619921,0.00133418182983552,"50785/54710/217119/218271/54616/50787/72727/117592/15476/233781/195646",11
"Cellular Processes","Transport and catabolism","mmu04137","Mitophagy - animal","29/1650","100/10650",0.29,1.87181818181818,3.75037610618111,0.000422490912781248,0.00227088865619921,0.00133418182983552,"56484/26420/56208/66313/15251/13665/26419/21425/69104/84092/20779/26414/72542/22241/100756/22190/75788/13666/19349/17342/94044/12034/233204/15461/20437/23802/93739/67443/67952",29
"Cellular Processes","Cell motility","mmu04810","Regulation of actin cytoskeleton","56/1650","235/10650",0.238297872340426,1.53810444874275,3.57146178475585,0.000482047535726926,0.00255114388138558,0.00149883606250316,"226970/18711/12767/329251/23797/18717/17931/17898/16399/108100/170758/11651/14186/14062/18708/22330/14180/219140/17886/16402/224105/21844/22350/19877/13367/12631/18718/22325/16410/20779/18645/54635/17451/14745/242687/18707/242894/14184/19303/434233/16885/18590/14673/11461/101314/20315/232807/60595/14183/15461/54126/14182/18709/12927/69632/19684",56
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","22/1650","69/10650",0.318840579710145,2.05797101449275,3.77494030636873,0.000492983051978709,0.00256948742243448,0.00150961317352332,"19049/14813/14281/12313/13162/12325/11838/224129/12915/12322/14810/108058/19055/18749/242443/434233/208647/12288/14812/14814/18751/18747",22
"Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species","13/1650","32/10650",0.40625,2.62215909090909,3.93479584692046,0.000541371009437011,0.00277957652606466,0.00163304373624362,"51800/11783/26420/56208/26419/12211/12125/12371/26414/64704/170770/12028/14082",13
"Organismal Systems","Endocrine system","mmu04917","Prolactin signaling pathway","23/1650","74/10650",0.310810810810811,2.00614250614251,3.71868820749832,0.000557342409672538,0.00281949689599049,0.00165649756435182,"23797/13982/56484/26420/16362/192157/20850/14784/12702/14281/11651/20418/18708/26419/12703/54607/20779/18707/26414/15461/12443/18709/12700",23
"Human Diseases","Cancer: specific types","mmu05211","Renal cell carcinoma","22/1650","70/10650",0.314285714285714,2.02857142857143,3.69671332956638,0.000615436249182545,0.00306826187998254,0.00180265079852096,"23797/216805/14784/112407/15251/21809/11651/18708/12914/224105/67673/12575/22339/13819/12015/18707/21803/112406/15461/18709/14388/112405",22
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","36/1650","136/10650",0.264705882352941,1.70855614973262,3.5606957851927,0.000639920676284279,0.00314475303773989,0.00184759052400874,"14131/23797/18717/26420/108100/170758/14281/11651/18708/26419/19229/16402/20112/19877/18018/22325/22034/20779/18019/109333/242687/18707/242894/26414/19303/16885/11461/54131/26400/54126/16150/18709/320795/18021/12927/69632",36
"Organismal Systems","Endocrine system","mmu04935","Growth hormone synthesis, secretion and action","32/1650","117/10650",0.273504273504274,1.76534576534577,3.56409854326734,0.000682918579887161,0.00324200060140255,0.00190472495553638,"16367/23797/14672/26420/20850/14784/12702/14281/11651/20418/18708/26401/26419/14600/12914/11515/12703/224129/16440/12915/18749/18707/26414/208647/12288/18751/15461/18709/18747/11513/12927/234779",32
"Human Diseases","Cancer: overview","mmu05231","Choline metabolism in cancer","28/1650","98/10650",0.285714285714286,1.84415584415584,3.5945407296278,0.000684525647599938,0.00324200060140255,0.00190472495553638,"23797/18717/26420/20520/56517/30805/56077/14784/170758/15251/14281/11651/18708/19012/26419/18607/19730/104418/54635/67916/242687/18707/26414/18590/18751/15461/13685/18709",28
"Human Diseases","Cancer: specific types","mmu05214","Glioma","23/1650","75/10650",0.306666666666667,1.97939393939394,3.64437439612301,0.000687982685762751,0.00324200060140255,0.00190472495553638,"23797/14784/12313/11651/13557/20418/18708/12325/12575/12322/108058/12578/242705/18707/12571/18590/12028/16001/18751/15461/12443/18709/234779",23
"Human Diseases","Substance dependence","mmu05034","Alcoholism","50/1650","208/10650",0.240384615384615,1.55157342657343,3.43968196048107,0.000766474974797321,0.00354988131806478,0.00208560958711272,"208727/11540/11541/55984/19049/15184/14813/14784/12313/319191/319152/319186/319187/319153/665596/665433/319161/319168/319184/319158/319167/97908/319166/360198/319177/20418/26914/13162/224129/12915/63959/15183/14810/107435/12064/12918/18749/242443/14700/434233/207565/208647/232232/14812/232440/14709/14814/15461/18747/14681",50
"Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","27/1650","94/10650",0.287234042553192,1.85396518375242,3.56065201421642,0.000773956682717613,0.00354988131806478,0.00208560958711272,"23797/11783/12566/22032/16399/11651/13557/66197/18708/12575/20182/16774/20181/22029/16410/22034/12448/242705/12371/18707/12571/12447/12028/12443/12826/16150/18709",27
"Environmental Information Processing","Signal transduction","mmu04370","VEGF signaling pathway","19/1650","58/10650",0.327586206896552,2.11442006269592,3.6437541240803,0.000806403032030824,0.00365003477656057,0.00214445127631466,"17164/23797/20698/170758/11651/18708/22339/12015/20779/18019/19055/12371/18707/19303/15507/18751/15461/18709/234779",19
"Organismal Systems","Endocrine system","mmu04912","GnRH signaling pathway","26/1650","90/10650",0.288888888888889,1.86464646464646,3.52697999699374,0.000874264586620924,0.00390580542594283,0.00229472044608636,"14672/26420/23939/14784/12313/26401/12325/26419/19229/11515/224129/26407/16440/13653/15200/12322/20779/108058/18749/26414/12288/18751/15461/26400/18747/11513",26
"Organismal Systems","Endocrine system","mmu04929","GnRH secretion","20/1650","63/10650",0.317460317460317,2.04906204906205,3.57569218527644,0.00093001221637334,0.0041015923388773,0.00240974825295116,"23797/15166/14672/12291/11651/18708/16522/58226/16440/54393/140492/15168/140493/242425/18707/12288/109689/18751/15461/18709",20
"Environmental Information Processing","Signal transduction","mmu04072","Phospholipase D signaling pathway","38/1650","149/10650",0.25503355704698,1.64612568639414,3.40071269309884,0.000992419706130412,0.00432142251783369,0.00253890184646288,"23797/18717/108072/11840/56077/11841/14784/20698/19157/11651/20418/20963/14062/18708/19012/19229/11515/224129/268934/55979/19730/104418/11998/54635/14745/67916/18707/108069/18590/14673/14389/15461/52123/18709/14388/11513/234779/13430",38
