"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008170","N-methyltransferase activity","60/10517","94/28409",0.638297872340426,1.7241993206541,5.39200863168862,1.18151074331859e-07,9.48832860738668e-07,3.79975686259384e-07,"71449/69726/15278/226830/15468/208266/100504608/14055/207965/52690/16468/18193/66254/27374/381022/70511/67768/224440/224481/213389/214917/110147/73582/225055/67897/240427/225888/64707/77683/140858/73251/99890/70673/231051/107823/77630/208043/67956/14056/21743/232187/14911/72895/381813/320204/232811/14113/15469/71974/59052/233904/72096/234135/212528/66083/59035/214162/18113/235626/20937",60
"GO:0004697","protein kinase C activity","16/10517","16/28409",1,2.70124560235809,5.2186501995786,1.23552590327369e-07,9.86160614259308e-07,3.94924197580423e-07,"18750/18760/18755/18753/75292/18754/18761/263803/18759/109333/18762/18752/101540/233789/18751/320795",16
"GO:0005178","integrin binding","89/10517","155/28409",0.574193548387097,1.55103779748303,5.27404814592606,1.86559938401723e-07,1.480042177987e-06,5.92707172721264e-07,"13518/21960/16456/22288/327743/16404/18016/268373/13649/16400/16399/14580/16416/18750/21858/18453/16413/16777/109711/23876/56048/13610/20963/21828/16398/11750/64652/218952/223272/13132/14083/17886/14114/16421/16402/16419/56637/13052/67374/11820/14164/14585/241226/16403/16401/16410/228564/14118/20779/381409/16776/14173/11490/114249/16007/17096/21894/64817/67916/107581/100952/16542/19303/15289/19242/93695/20315/12527/17304/16202/12476/64540/12520/11502/211323/12845/12317/16412/14739/15894/15898/83964/21838/56506/20361/319480/70549/104099/16728",89
"GO:1990841","promoter-specific chromatin binding","53/10517","81/28409",0.654320987654321,1.76748169043183,5.30321699609484,1.94744400489835e-07,1.53566518217586e-06,6.1498231733632e-07,"17864/20846/208727/14633/51810/12142/93759/20020/52615/18023/22658/19014/13983/14281/26914/18185/71175/15499/12394/110147/98053/13872/13653/14283/226182/21416/12151/11909/19650/56458/94093/320790/16600/433759/19017/14056/13197/69837/19016/21849/13870/54131/269966/24075/67773/18997/19651/104394/13433/17127/214812/235441/54601",53
"GO:0042562","hormone binding","60/10517","95/28409",0.631578947368421,1.7060498541209,5.28485867684646,2.05053137548229e-07,1.60727279671037e-06,6.43658761418329e-07,"53945/51801/72674/98660/54140/13649/21833/12921/14428/13983/22355/16323/12919/18708/21834/13618/14600/19116/18162/14429/12257/14815/11551/226278/14725/11552/208188/381489/20416/18160/11928/230103/66212/16847/230777/11553/12425/14747/76854/12922/11517/18430/54611/54200/56847/16001/54608/13491/16337/11556/17773/12317/12554/18667/71764/18746/387285/19228/22354/11835",60
"GO:0140030","modification-dependent protein binding","131/10517","248/28409",0.528225806451613,1.42686763672947,5.17644800026024,2.63870980790221e-07,2.05599472532381e-06,8.23356819758961e-07,"68818/56812/66262/21929/237339/93759/11735/103136/216233/368203/14479/116848/103554/195018/268445/52615/103537/12412/192157/20848/207165/12416/30951/12418/217365/15239/320817/268564/66505/12593/16468/18676/20729/20184/26914/56085/105246/268749/75339/219249/106025/494448/52609/223723/74022/70238/338467/12648/21652/106504/57261/14312/224727/224824/68047/15193/18140/64144/22324/17688/74322/68423/19708/98766/67382/140858/27223/228880/14173/94232/19185/75007/229603/68058/77559/109676/108946/17096/269523/19359/76804/70122/13858/230674/230936/269610/67513/22791/213990/107976/231130/70681/68420/22628/71735/21848/338523/72103/58186/72895/214899/71950/28019/170711/13626/108937/77035/75565/360216/26356/69260/21968/26992/75796/234779/244666/59035/78658/214162/235461/72135/214763/83946/235559/15185/72459/14265/270624/75746/278240/17692",131
"GO:0090079","translation regulator activity, nucleic acid binding","67/10517","110/28409",0.609090909090909,1.64530413961811,5.19890726677703,3.03880775896789e-07,2.35372742987513e-06,9.42588766095302e-07,"226982/75388/16865/108853/13629/66399/19291/73158/20425/13681/276770/19401/20918/68572/69674/217715/217869/218268/218629/218693/68135/66656/223691/14904/75705/14852/224045/208643/319765/224742/56055/225363/67869/19290/13664/269037/67160/208922/98221/100042807/16418/13628/208691/229317/28030/13684/108067/230861/22171/231207/72650/22384/27979/232164/66892/73830/12877/101592/13631/233870/56347/53356/67941/13627/68969/26905/66235",67
"GO:0005200","structural constituent of cytoskeleton","49/10517","74/28409",0.662162162162162,1.78866262858846,5.20813622447457,3.23682030597481e-07,2.4923516356006e-06,9.98103103638053e-07,"22145/74117/71924/11735/16907/380684/13169/12323/66713/20742/103733/103768/14580/11465/20741/11472/22151/73710/18040/18810/22143/22154/13823/16906/67951/226180/27360/22352/227613/18286/22138/16905/16939/109676/21894/269587/230872/56378/11461/11519/68089/53857/22144/60595/233199/233335/22152/22003/70549",49
"GO:0051213","dioxygenase activity","58/10517","92/28409",0.630434782608696,1.70295918409532,5.177704065192,3.56227637456651e-07,2.72691214871787e-06,1.09203670947007e-06,"68736/75605/19225/18451/52463/108829/211488/18452/194952/268420/23801/11688/216850/107817/18453/112407/71952/211064/18676/15460/66667/15233/67014/193796/107766/12583/225876/227696/69113/407243/229675/214133/65973/76804/242642/230674/56401/72898/231642/30841/15445/18984/26433/338523/194388/214899/66071/112406/77035/233879/209176/15930/26383/112405/26432/74443/22289/20591",58
"GO:0061733","peptide-lysine-N-acetyltransferase activity","34/10517","46/28409",0.739130434782609,1.99657283652554,5.1861933109722,3.91783008512521e-07,2.98165091943541e-06,1.19405102961589e-06,"76901/216825/217031/217127/23989/17977/12593/54169/223770/12914/72117/72057/268936/73242/18519/77805/70999/76055/269252/228019/107435/11909/228714/17979/269424/70088/12753/12190/78783/28019/24075/67773/244349/76491",34
"GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","21/10517","24/28409",0.875,2.36358990206333,5.12367730850846,4.694044745744e-07,3.55173674692422e-06,1.42235125243718e-06,"29863/18605/218461/238871/18574/23984/18585/225600/241489/18573/18583/242202/18578/18575/78600/54611/18584/207728/18576/110385/18577",21
"GO:0001098","basal transcription machinery binding","44/10517","65/28409",0.676923076923077,1.82853548467317,5.12712662901948,5.01530051994682e-07,3.73012976171045e-06,1.49379166204158e-06,"22592/214498/51810/69726/226830/66225/20922/11622/26380/83602/68045/219158/239528/12914/224432/106583/21374/57261/98053/72515/225283/21413/67655/66556/70769/59022/77766/76246/228866/17979/229937/236511/71101/54367/13870/14113/54624/19777/233208/20174/22083/68153/235497/11835",44
"GO:0001099","basal RNA polymerase II transcription machinery binding","44/10517","65/28409",0.676923076923077,1.82853548467317,5.12712662901948,5.01530051994682e-07,3.73012976171045e-06,1.49379166204158e-06,"22592/214498/51810/69726/226830/66225/20922/11622/26380/83602/68045/219158/239528/12914/224432/106583/21374/57261/98053/72515/225283/21413/67655/66556/70769/59022/77766/76246/228866/17979/229937/236511/71101/54367/13870/14113/54624/19777/233208/20174/22083/68153/235497/11835",44
"GO:0032934","sterol binding","44/10517","65/28409",0.676923076923077,1.82853548467317,5.12712662901948,5.01530051994682e-07,3.73012976171045e-06,1.49379166204158e-06,"72999/237542/74309/22333/11749/69071/18023/71240/59045/14451/19206/268706/22334/12257/106326/207798/320007/18145/64291/170459/170461/76303/226144/68526/99031/228983/19885/100273/231070/19126/12492/12389/319757/71720/52857/54200/170460/12520/79196/244373/235283/13070/19883/74486",44
"GO:0019205","nucleobase-containing compound kinase activity","31/10517","41/28409",0.75609756097561,2.04240521153904,5.12095506538679,5.50482205425416e-07,4.0482090275386e-06,1.6211717226603e-06,"171567/80914/633979/18103/18102/21877/22169/56217/102216272/11534/79059/56520/56248/76952/22245/11636/98985/18534/68556/229949/11639/66588/11637/74035/333789/74354/56524/27369/59047/57813/54369",31
"GO:0140938","GO:0140938","31/10517","41/28409",0.75609756097561,2.04240521153904,5.12095506538679,5.50482205425416e-07,4.0482090275386e-06,1.6211717226603e-06,"69726/226830/15468/208266/14055/52690/16468/18193/381022/224440/213389/110147/240427/64707/77683/140858/73251/99890/70673/231051/107823/77630/208043/14056/72895/233904/234135/59035/214162/235626/20937",31
"GO:0034212","peptide N-acetyltransferase activity","37/10517","52/28409",0.711538461538462,1.92204014013941,5.10220824394581,5.92632897086901e-07,4.3338349848422e-06,1.73555532343003e-06,"76901/216825/217031/217127/23989/17977/12593/54169/70646/223770/12914/72117/72057/268936/73242/18519/77805/70999/76055/269252/228019/107435/11909/228714/67877/17979/269424/70088/12753/12190/78783/28019/24075/67773/244349/76491/56292",37
"GO:0031491","nucleosome binding","38/10517","54/28409",0.703703703703704,1.90087653499273,5.08023908015252,6.57520732393235e-07,4.78163688168192e-06,1.91488493995223e-06,"11545/15078/104248/67019/15364/50724/246198/14055/22367/56702/14957/50709/50708/26914/74022/15260/70238/15312/239985/17354/76233/68058/51788/100088/93760/15331/15441/57741/19822/70103/14056/13626/108937/17955/93762/214763/94353/50887",38
"GO:0043531","ADP binding","32/10517","43/28409",0.744186046511628,2.01022928547579,5.08267048061234,6.67776659716283e-07,4.82939031805864e-06,1.93400858702361e-06,"67426/11783/103988/77579/360013/78943/50709/17886/239555/109754/19082/11307/21355/74142/17685/17688/11946/667663/18441/11928/269523/108099/19060/20174/17921/257632/66917/18746/14629/11666/19139/110639",32
